iter	RMSE
0	0.5648183837
1	0.5245461339
2	0.5003012902
3	0.4833723018
4	0.4698274614
5	0.46313104
6	0.4508608101
7	0.4427343402
8	0.4352039222
9	0.4281812991
10	0.4218921685
11	0.4167173744
12	0.4110607331
13	0.4079120828
14	0.403184031
15	0.4000134283
16	0.3970593726
17	0.3926645388
18	0.3889053399
19	0.387410873
20	0.3857572906
21	0.3831913738
22	0.3806757838
23	0.3782402312
24	0.3759479965
25	0.3727956079
26	0.3710227596
27	0.3691392893
28	0.3679911481
29	0.3670875768
30	0.3653561089
31	0.3638811716
32	0.3626049453
33	0.3620113799
34	0.3614516437
35	0.3602443418
36	0.3596567077
37	0.3578050221
38	0.356459525
39	0.3552180356
40	0.3539632761
41	0.3532280716
42	0.3527456547
43	0.3526725269
44	0.3519907891
45	0.3515253125
46	0.3510934905
47	0.3502012367
48	0.3489312471
49	0.348548938
50	0.3479219099
51	0.3468434097
52	0.3460635149
53	0.3455763921
54	0.3450855444
55	0.3442533507
56	0.3437001168
57	0.3429962091
58	0.3421477366
59	0.3417669013
60	0.3411102388
61	0.3403717731
62	0.3397649448
63	0.339332341
64	0.3390013044
65	0.3384537238
66	0.3378220576
67	0.3374635268
68	0.3371658009
69	0.336770533
70	0.3363939822
71	0.3359961374
72	0.3355109406
73	0.3351343338
74	0.3348718594
75	0.3344651836
76	0.3341487026
77	0.3336167464
78	0.3333305918
79	0.3329428394
80	0.3325593796
81	0.3322652794
82	0.3321477374
83	0.3320025653
84	0.3317482066
85	0.3313091655
86	0.3310543365
87	0.3307368769
88	0.3304983298
89	0.3301250419
90	0.3299252414
91	0.3296764638
92	0.3292564828
93	0.3289439936
94	0.3287185892
95	0.3285835275
96	0.3283996675
97	0.3282815277
98	0.3281539139
99	0.327997809
100	0.3278105013
101	0.3275825101
102	0.3273751041
103	0.3272250474
104	0.3270671835
105	0.3268697616
106	0.3265746387
107	0.3264086728
108	0.326259171
109	0.3260713479
110	0.3258615234
111	0.3256448097
112	0.3255331999
113	0.3254184178
114	0.325204979
115	0.3250478686
116	0.3248972477
117	0.324677489
118	0.3245215152
119	0.3243303415
120	0.3240983595
121	0.3238379031
122	0.3236835566
123	0.3234772514
124	0.3233630918
125	0.3232735425
126	0.3230398859
127	0.3229569013
128	0.3228790638
129	0.3226634813
130	0.3225689468
131	0.3223622106
132	0.3222214874
133	0.3221041265
134	0.3219664186
135	0.3217478647
136	0.3216080669
137	0.3214966609
138	0.3212941341
139	0.3210880517
140	0.3209590362
141	0.3207745374
142	0.3205281452
143	0.3203624056
144	0.3201636757
145	0.3200495351
146	0.3199616822
147	0.3198757353
148	0.3196370697
149	0.3194600932
150	0.3192971496
151	0.3191712215
152	0.3189733217
153	0.3189071441
154	0.3188505627
155	0.3187450024
156	0.3186978359
157	0.318561873
158	0.31848332
159	0.3183468189
160	0.3182506576
161	0.3180837501
162	0.3179872854
163	0.3177839325
164	0.3176572162
165	0.3174099762
166	0.3171190695
167	0.3170257546
168	0.3168266032
169	0.3167203762
170	0.3165449159
171	0.3164006809
172	0.3163180187
173	0.316227037
174	0.3160727532
175	0.3160472686
176	0.3159960926
177	0.315829336
178	0.3155891947
179	0.3154108309
180	0.3153558647
181	0.3152866986
182	0.3152284339
183	0.3152154628
184	0.3150966855
185	0.3149240927
186	0.3146725287
187	0.3146304771
188	0.3145246349
189	0.3143363379
190	0.3142965039
191	0.3142602309
192	0.3142227433
193	0.3141147431
194	0.313921067
195	0.3137501867
196	0.3136813971
197	0.3135934074
198	0.3134671776
199	0.3133519547
200	0.3132851945
201	0.3132133556
202	0.31320098
203	0.3130051144
204	0.3129022615
205	0.3127409947
206	0.3126336255
207	0.312478651
208	0.312380788
209	0.3122815546
210	0.3122095317
211	0.3121592184
212	0.3121002248
213	0.3119882139
214	0.3119527844
215	0.3118785464
216	0.3117066492
217	0.3115599946
218	0.311512149
219	0.3114342064
220	0.3113371488
221	0.3112911525
222	0.3111798964
223	0.3110472602
224	0.3109823856
225	0.3108846607
226	0.310788601
227	0.3107422411
228	0.3107178574
229	0.3106551956
230	0.3105968756
231	0.3104971945
232	0.3103987726
233	0.3101877498
234	0.3100273387
235	0.3098990955
236	0.3098862554
237	0.309761431
238	0.3096232297
239	0.3094664832
240	0.309324798
241	0.30922729
242	0.3091234935
243	0.3090120713
244	0.3089194549
245	0.3088371499
246	0.3087311561
247	0.3086516677
248	0.3085492898
249	0.3084295389
250	0.3083549543
251	0.3082773877
252	0.3082317092
253	0.308169009
254	0.3081689209
255	0.3080816557
256	0.3079760221
257	0.3078360869
258	0.3078239837
259	0.307710907
260	0.3076365671
261	0.3076337145
262	0.3075422544
263	0.3075057086
264	0.3073860939
265	0.307379076
266	0.3073705812
267	0.3073278151
268	0.3072276
269	0.3071202874
270	0.3070694436
271	0.3069240497
272	0.3068926711
273	0.3068331793
274	0.3067527803
275	0.3066897029
276	0.3066285479
277	0.3065061072
278	0.3064170566
279	0.3063147457
280	0.3062413865
281	0.3061919839
282	0.3061024387
283	0.3060913235
284	0.3059312374
285	0.3059002956
286	0.3057553178
287	0.305600423
288	0.3054690105
289	0.3054043102
290	0.3052695719
291	0.3052239102
292	0.3051750461
293	0.3051163875
294	0.3049727278
295	0.3048989339
296	0.3047987028
297	0.3046647312
298	0.3045693334
299	0.3045059163
