iter	Passed	Remaining
0	190	56846
1	300	44733
2	386	38297
3	459	33982
4	547	32287
5	640	31397
6	728	30472
7	830	30308
8	929	30065
9	1018	29525
10	1063	27952
11	1162	27891
12	1273	28111
13	1357	27727
14	1445	27457
15	1543	27401
16	1635	27224
17	1731	27121
18	1842	27245
19	1957	27401
20	2077	27607
21	2194	27735
22	2297	27671
23	2394	27535
24	2518	27704
25	2624	27662
26	2727	27576
27	2817	27367
28	2914	27235
29	3011	27099
30	3106	26959
31	3172	26568
32	3262	26394
33	3356	26259
34	3456	26172
35	3535	25924
36	3610	25660
37	3723	25669
38	3834	25663
39	3963	25759
40	4067	25697
41	4167	25599
42	4255	25431
43	4306	25057
44	4391	24886
45	4477	24724
46	4572	24613
47	4672	24528
48	4784	24509
49	4874	24373
50	4955	24195
51	5100	24323
52	5194	24206
53	5288	24093
54	5376	23951
55	5481	23881
56	5591	23837
57	5731	23912
58	5840	23856
59	5932	23731
60	6032	23634
61	6135	23552
62	6260	23551
63	6382	23537
64	6472	23399
65	6561	23262
66	6703	23311
67	6830	23302
68	6929	23198
69	7023	23076
70	7140	23031
71	7261	22993
72	7354	22868
73	7457	22775
74	7527	22583
75	7605	22417
76	7735	22403
77	7847	22336
78	7964	22280
79	8084	22232
80	8176	22107
81	8277	22006
82	8378	21905
83	8473	21787
84	8588	21723
85	8704	21661
86	8819	21592
87	8925	21502
88	9046	21448
89	9143	21334
90	9245	21235
91	9336	21109
92	9436	21003
93	9569	20972
94	9672	20871
95	9769	20760
96	9880	20676
97	10005	20624
98	10132	20571
99	10234	20468
100	10325	20343
101	10414	20216
102	10515	20113
103	10625	20025
104	10728	19923
105	10811	19786
106	10906	19672
107	11006	19567
108	11112	19471
109	11207	19357
110	11313	19263
111	11423	19174
112	11525	19073
113	11621	18960
114	11714	18845
115	11803	18723
116	11926	18654
117	12088	18644
118	12203	18561
119	12321	18482
120	12470	18448
121	12623	18417
122	12717	18300
123	12807	18178
124	12891	18047
125	12977	17921
126	13089	17829
127	13170	17697
128	13255	17571
129	13345	17451
130	13436	17334
131	13558	17256
132	13660	17152
133	13764	17051
134	13864	16946
135	13992	16873
136	14122	16802
137	14251	16730
138	14372	16646
139	14462	16529
140	14574	16434
141	14669	16322
142	14782	16229
143	14880	16120
144	14989	16023
145	15108	15936
146	15209	15830
147	15294	15707
148	15399	15606
149	15517	15517
150	15641	15434
151	15755	15341
152	15854	15232
153	15977	15147
154	16089	15051
155	16192	14946
156	16310	14856
157	16428	14765
158	16540	14668
159	16632	14553
160	16730	14444
161	16818	14326
162	16923	14224
163	17015	14110
164	17101	13991
165	17200	13884
166	17293	13772
167	17423	13690
168	17549	13603
169	17656	13502
170	17776	13410
171	17867	13296
172	17960	13185
173	18060	13078
174	18160	12971
175	18242	12852
176	18339	12744
177	18463	12654
178	18585	12563
179	18727	12484
180	18835	12383
181	18940	12280
182	19047	12177
183	19172	12086
184	19257	11970
185	19374	11874
186	19507	11787
187	19619	11688
188	19729	11587
189	19850	11492
190	19970	11396
191	20105	11309
192	20235	11218
193	20364	11127
194	20500	11038
195	20606	10934
196	20706	10826
197	20800	10715
198	20899	10607
199	20998	10499
200	21089	10387
201	21170	10271
202	21267	10162
203	21350	10047
204	21445	9937
205	21548	9832
206	21661	9731
207	21773	9630
208	21862	9518
209	21983	9421
210	22088	9316
211	22200	9215
212	22323	9118
213	22449	9021
214	22555	8917
215	22665	8814
216	22820	8728
217	22939	8628
218	23041	8522
219	23147	8417
220	23267	8317
221	23386	8216
222	23507	8116
223	23612	8011
224	23699	7899
225	23792	7790
226	23906	7688
227	23996	7577
228	24093	7469
229	24175	7357
230	24287	7254
231	24392	7149
232	24502	7045
233	24617	6943
234	24728	6839
235	24840	6736
236	24946	6631
237	25041	6523
238	25135	6415
239	25253	6313
240	25376	6212
241	25481	6107
242	25619	6009
243	25724	5903
244	25821	5796
245	25927	5691
246	26024	5584
247	26123	5477
248	26213	5369
249	26321	5264
250	26419	5157
251	26532	5053
252	26644	4949
253	26759	4846
254	26866	4741
255	26991	4639
256	27103	4534
257	27220	4431
258	27322	4325
259	27452	4223
260	27551	4116
261	27641	4009
262	27765	3906
263	27887	3802
264	28013	3699
265	28097	3591
266	28198	3485
267	28308	3380
268	28427	3276
269	28540	3171
270	28631	3063
271	28728	2957
272	28826	2850
273	28942	2746
274	29075	2643
275	29171	2536
276	29273	2430
277	29404	2326
278	29514	2221
279	29642	2117
280	29763	2012
281	29851	1905
282	29936	1798
283	30019	1691
284	30105	1584
285	30211	1478
286	30314	1373
287	30448	1268
288	30549	1162
289	30650	1056
290	30748	950
291	30845	845
292	30973	739
293	31079	634
294	31170	528
295	31259	422
296	31378	316
297	31489	211
298	31595	105
299	31687	0
